year,source_sha256,raw_rows,accepted_rows,positive_rows,negative_rows,removed_rows,peak_rss_gib,classification_counts,symptom_missing
2017,b3bc5d74eb0f094f1da46432b20c64104605cdbf6ddd431d6d5a43894a7e4f87,247662,225979,166345,59634,21683,0.189,"{"""": 21633, ""1"": 22, ""13"": 166345, ""2"": 12, ""5"": 59634, ""8"": 16}","{""arthritis"": 0, ""back_pain"": 0, ""conjunctivitis"": 0, ""fever"": 0, ""headache"": 0, ""joint_pain"": 0, ""myalgia"": 0, ""nausea"": 0, ""petechiae"": 0, ""rash"": 0, ""retro_orbital_pain"": 0, ""vomiting"": 0}"
2018,620b14685a79864b8b6e2b6c3b2114cab686547aa354378504e2ffc211356326,118779,105249,74562,30687,13530,0.184,"{"""": 13530, ""13"": 74562, ""5"": 30687}","{""arthritis"": 0, ""back_pain"": 0, ""conjunctivitis"": 0, ""fever"": 0, ""headache"": 0, ""joint_pain"": 0, ""myalgia"": 0, ""nausea"": 0, ""petechiae"": 0, ""rash"": 0, ""retro_orbital_pain"": 0, ""vomiting"": 0}"
2019,1f225c6c8f2909e0c21cdb1c274d76cd35656495ebdd533bb985c9fb7b87df99,178147,149927,103579,46348,28220,0.182,"{"""": 28218, ""10"": 1, ""13"": 103579, ""5"": 46348, ""8"": 1}","{""arthritis"": 3, ""back_pain"": 3, ""conjunctivitis"": 3, ""fever"": 3, ""headache"": 3, ""joint_pain"": 3, ""myalgia"": 3, ""nausea"": 3, ""petechiae"": 3, ""rash"": 3, ""retro_orbital_pain"": 3, ""vomiting"": 3}"
2020,64c18e9d71fff1539fd9df00392ceb0e8bd659701250d9ef5802b23f3f6df3b8,102496,72471,43973,28498,30025,0.182,"{"""": 30025, ""13"": 43973, ""5"": 28498}","{""arthritis"": 3, ""back_pain"": 3, ""conjunctivitis"": 3, ""fever"": 3, ""headache"": 3, ""joint_pain"": 3, ""myalgia"": 3, ""nausea"": 3, ""petechiae"": 3, ""rash"": 3, ""retro_orbital_pain"": 3, ""vomiting"": 3}"
2021,f1a9e2caeb25722bb5d5f28b11f9f5f372677884aaaf7981216d89c639602355,128991,110854,69195,41659,18137,0.192,"{"""": 18133, ""!\u00c3\u00b6"": 1, ""13"": 69195, ""5"": 41659, ""8"": 1, ""H0"": 1, ""\u00c2\u00ad\u00c2\u0084"": 1}","{""arthritis"": 5, ""back_pain"": 5, ""conjunctivitis"": 5, ""fever"": 5, ""headache"": 5, ""joint_pain"": 5, ""myalgia"": 5, ""nausea"": 5, ""petechiae"": 5, ""rash"": 5, ""retro_orbital_pain"": 5, ""vomiting"": 5}"
2022,a9bbe83fb7afa00e74037283d88e9f8025e28ebe9309ef88f257491cc8746a32,274331,248073,148575,99498,26258,0.193,"{"""": 26069, ""0"": 74, ""1"": 2, ""13"": 148605, ""2"": 1, ""5"": 99579, ""8"": 1}","{""arthritis"": 1, ""back_pain"": 1, ""conjunctivitis"": 1, ""fever"": 1, ""headache"": 1, ""joint_pain"": 1, ""myalgia"": 1, ""nausea"": 1, ""petechiae"": 1, ""rash"": 1, ""retro_orbital_pain"": 1, ""vomiting"": 1}"
2023,26717439064f1d0c28874e30548d4e95cda946d21924a7e2d55ab1425a6f4e3f,266442,238161,130158,108003,28281,0.19,"{"""": 27817, ""0"": 385, ""13"": 130196, ""5"": 108044}","{""arthritis"": 1, ""back_pain"": 1, ""conjunctivitis"": 1, ""fever"": 1, ""headache"": 1, ""joint_pain"": 1, ""myalgia"": 1, ""nausea"": 1, ""petechiae"": 1, ""rash"": 1, ""retro_orbital_pain"": 1, ""vomiting"": 1}"
2024,382239dee3cebe2fb21efaaa2e4c6513391b1dbdb3ddfdf3b51d407da44ae0ee,426214,393413,231612,161801,32801,0.195,"{"""": 31991, ""13"": 232047, ""5"": 162176}","{""arthritis"": 4, ""back_pain"": 4, ""conjunctivitis"": 4, ""fever"": 4, ""headache"": 4, ""joint_pain"": 4, ""myalgia"": 4, ""nausea"": 4, ""petechiae"": 4, ""rash"": 4, ""retro_orbital_pain"": 4, ""vomiting"": 4}"
2025,8c49351839bbec39d2d00c6cc9135715063cc6eff3045674f0c79df40d1f257a,253674,235703,109812,125891,17971,0.203,"{"""": 16281, ""0"": 48, ""13"": 110473, ""5"": 126871, ""8"": 1}","{""arthritis"": 3, ""back_pain"": 3, ""conjunctivitis"": 3, ""fever"": 3, ""headache"": 3, ""joint_pain"": 3, ""myalgia"": 3, ""nausea"": 3, ""petechiae"": 3, ""rash"": 3, ""retro_orbital_pain"": 3, ""vomiting"": 3}"
