model,false_positive_rate,true_positive_rate,threshold
Regressão Logística,0.0,0.0,inf
Regressão Logística,0.0005982254168169841,0.0032490706559828437,0.8440280947589881
Regressão Logística,0.0012558167146921421,0.006272062836897299,0.8252151616982715
Regressão Logística,0.0018586087377443705,0.009001153000222849,0.8136133894021017
Regressão Logística,0.002434001123385134,0.01154615069099271,0.8048732083175842
Regressão Logística,0.0030504929651430945,0.01407177022675671,0.7966235816331643
Regressão Logística,0.0036806846256067878,0.016410067597464044,0.790227989725493
Regressão Logística,0.004283476648659016,0.01863209603813621,0.7849104420161679
Regressão Logística,0.004886268671711244,0.02077338216628395,0.7799132618090086
Regressão Logística,0.005562126394527379,0.023101990459488353,0.7746657576896052
Regressão Logística,0.006183184842520584,0.02557593491523672,0.7698195799118426
Regressão Logística,0.006822509715454766,0.028505266013622844,0.7643662072974542
Regressão Logística,0.007425301738506994,0.031163302941926898,0.7596427360776744
Regressão Logística,0.008078326430146908,0.03356619416265377,0.7555660303076979
Regressão Logística,0.008722217909316333,0.035620278593275136,0.752140256018182
Regressão Logística,0.009352409569780026,0.03802639950650299,0.7482657836264842
Regressão Logística,0.00995063498659701,0.040409912572224,0.7445803585932641
Regressão Logística,0.010567126828354971,0.04299366657300559,0.7408837536954936
Regressão Logística,0.011188185276348177,0.045196316858671884,0.7377982309808605
Regressão Logística,0.011850343180458578,0.047334373294318645,0.7348749310806328
Regressão Logística,0.012475968234687027,0.04930771541241558,0.7322779597027743
Regressão Logística,0.013156392563738406,0.05130689507052034,0.7295204392742323
Regressão Logística,0.013795717436672588,0.05324148087860555,0.7269615455672906
Regressão Logística,0.014444175522077258,0.055427982701766965,0.72443153152926
Regressão Logística,0.015078933788776195,0.0574013248198639,0.7219848997618017
Regressão Logística,0.015686292418063668,0.05947155771299015,0.7195013842313904
Regressão Logística,0.01631648407852736,0.06160961414863691,0.7170030759489299
Regressão Logística,0.01695580895146154,0.06362494226924655,0.7146662068445363
Regressão Logística,0.01760426703686621,0.06552077176732003,0.712581093405986
Regressão Logística,0.018257291728506125,0.0677428002079922,0.7101760003466524
Regressão Logística,0.01884181732661738,0.06966123755357252,0.7081978357985144
