model,recall,precision,threshold
Regressão Logística,1.0,0.5857402839154913,0.03836688979924065
Regressão Logística,0.9995865993598749,0.5860835479472807,0.07745724062697872
Regressão Logística,0.9992539410322743,0.5864748877835739,0.08533891367555221
Regressão Logística,0.9989697280921883,0.5868988142787479,0.089987326517221
Regressão Logística,0.9986758260745995,0.5873190133127187,0.09415054550568491
Regressão Logística,0.9982882629744823,0.5876826900956158,0.09730196895625055
Regressão Logística,0.9979556046468816,0.588079455073854,0.1003080224543766
Regressão Logística,0.9975422040067565,0.5884305141189335,0.1031786705850703
Regressão Logística,0.9971288033666315,0.5887811613218198,0.10570830278731749
Regressão Logística,0.9968026044240328,0.5891874349747535,0.1080401488473651
Regressão Logística,0.9964279600939194,0.5895602390183965,0.11047563870244531
Regressão Logística,0.9960177891462954,0.5899161399911244,0.11253722577925754
Regressão Logística,0.9955785509661625,0.590252140745393,0.11461808825720407
Regressão Logística,0.9951425424785306,0.5905884743215736,0.11662563229196465
Regressão Logística,0.9947226824534036,0.59093961534329,0.11855667463426775
Regressão Logística,0.9942640661182649,0.5912661524514851,0.12049165842661504
Regressão Logística,0.9937925310131223,0.5915856622114216,0.12227613931452633
Regressão Logística,0.9933080771379756,0.5918969840784128,0.12414498235570195
Regressão Logística,0.9927945560303204,0.5921927406320016,0.12578039148020814
Regressão Logística,0.9924069929302031,0.5925643087591818,0.1272421742164346
Regressão Logística,0.99186763428254,0.5928447606876875,0.12873798201140754
Regressão Logística,0.9913476537898827,0.5931373780432426,0.13032948636109604
Regressão Logística,0.9909439422272606,0.5935025243244288,0.13179536756145102
Regressão Logística,0.9904530289671121,0.5938138381195989,0.13319618625707427
Regressão Logística,0.9899588860144626,0.5941238496189302,0.13460389915808987
Regressão Logística,0.9894292164443024,0.5944131520075128,0.13608716191540918
Regressão Logística,0.9889221547216489,0.5947177976191632,0.1374706856075613
Regressão Logística,0.9884344711540014,0.5950324205041462,0.13879912234749833
Regressão Logística,0.9879209500463461,0.5953321175767649,0.14011641179379994
Regressão Logística,0.9874752524812113,0.5956733419965204,0.14142015403505942
Regressão Logística,0.9869972579910666,0.5959980887558386,0.1426940571321573
Regressão Logística,0.9865128041159201,0.5963172721575701,0.14393954509780457
Regressão Logística,0.9859250000807424,0.5965757413494573,0.14508800931811522
Regressão Logística,0.9854211680505899,0.5968856066904681,0.14628120304601488
Regressão Logística,0.9848624312479208,0.5971639899970038,0.14738548651600486
Regressão Logística,0.9843553695252675,0.597473143574061,0.1486406482724091
Regressão Logística,0.9838450781101131,0.5977809742284529,0.1496956643684606
Regressão Logística,0.9832992600774481,0.5980701837097103,0.15078670153074342
Regressão Logística,0.9827857389697927,0.5983761292174823,0.1518973480821479
Regressão Logística,0.9822270021671237,0.5986575067419933,0.153000407209854
Regressão Logística,0.9817134810594683,0.5989670569596557,0.15403315613136528
Regressão Logística,0.981212878721817,0.5992851422417024,0.15516953574769676
Regressão Logística,0.9807478030016762,0.5996244276075328,0.1561087820395241
Regressão Logística,0.9801955255840091,0.599909863787579,0.15719390332737765
Regressão Logística,0.9796820044763538,0.6002208265561743,0.15821053173429744
Regressão Logística,0.979100659826178,0.6004896523309986,0.15929669698842341
Regressão Logística,0.9785645308710158,0.6007891814720813,0.1602427431239952
Regressão Logística,0.9780413206858575,0.6010960850984433,0.16121145402056786
Regressão Logística,0.9774890432681904,0.601388138233611,0.16214754656925673
Regressão Logística,0.9769173876955175,0.6016652809216729,0.16307487483504116
Regressão Logística,0.976416785357866,0.6019892077019573,0.1640829184130706
Regressão Logística,0.975864507940199,0.602279522567991,0.16500410450788996
Regressão Logística,0.975299311752528,0.6025648700205126,0.16594867988316875
Regressão Logística,0.9747211967948531,0.6028428294062658,0.166844278374197
Regressão Logística,0.9741333927596754,0.6031141709374707,0.167716617606726
Regressão Logística,0.973616641959519,0.6034301224643396,0.16857210482829535
Regressão Logística,0.9730385270018441,0.6037086687225852,0.16945647856154314
Regressão Logística,0.9724668714291712,0.6039918157746931,0.17030860895381317
Regressão Logística,0.9719501206290149,0.6043096991323171,0.17110729322370094
Regressão Logística,0.9713526275163342,0.6045792166283055,0.17197422969716486
Regressão Logística,0.9708326470236769,0.6048963854645851,0.1728189210767689
Regressão Logística,0.9702674508360059,0.605190901820482,0.17364446054800242
Regressão Logística,0.9696828764933291,0.6054715071045701,0.17449467689997922
Regressão Logística,0.9690789239956463,0.6057393761986474,0.17539032975314015
Regressão Logística,0.9684814308829657,0.6060130835190908,0.17628342274223
Regressão Logística,0.9679646800828093,0.6063379540838209,0.17718085830741398
Regressão Logística,0.9674220917426452,0.606651004536617,0.17796591010516938
Regressão Logística,0.9668052204749585,0.6069168682295648,0.1787377639005382
Regressão Logística,0.9662367945947866,0.6072075875324485,0.17952007805007975
Regressão Logística,0.9656877468696206,0.6075172907032501,0.1803052538154185
Regressão Logística,0.9650870240644388,0.607797591322088,0.1810967772085543
Regressão Logística,0.9645347466467717,0.6081053289595588,0.18196037611616764
Regressão Logística,0.9639953879991086,0.6084206449508744,0.18277444913658142
Regressão Logística,0.9634075839639308,0.6087085169034117,0.1835455580755311
Regressão Logística,0.962823009621254,0.6089990562144804,0.18433302268211108
Regressão Logística,0.9621932195835634,0.609260349947238,0.18510174275799557
Regressão Logística,0.9616054155483856,0.6095450813882787,0.18584830528658053
Regressão Logística,0.961001463050703,0.6098226802095374,0.1865358036029576
Regressão Logística,0.9604104293230241,0.6101065848729496,0.18725982160526683
Regressão Logística,0.959871070675361,0.6104289816256362,0.188014099692546
Regressão Logística,0.9592832666401832,0.6107149613034288,0.18873966770070255
Regressão Logística,0.9587051516825084,0.6110140237990849,0.18945452999015652
Regressão Logística,0.9581173476473305,0.6113062991590543,0.19011474906610032
Regressão Logística,0.9575392326896556,0.611607925653165,0.190826600568438
