model,threshold,n_test,positive_rate,predicted_positive_rate,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,tn,fp,fn,tp
MLP,0.07,528608,0.5857402839154913,0.7020306162600641,0.6973863429989708,0.6676725269715627,0.7016483472065406,0.8409505630968875,0.4943944908462378,0.7650097102211463,0.772156565956742,0.8326277959841024,108263,110718,49246,260381
LightGBM,0.07,528608,0.5857402839154913,0.8383565893819238,0.6832075942853684,0.6289787086064444,0.6604018395079,0.9452179557984284,0.31273946141446063,0.7775485561027061,0.7693115252737976,0.8257323939584411,68484,150497,16962,292665
XGBoost,0.07,528608,0.5857402839154913,0.829510714934318,0.6842480628367335,0.6316135518380332,0.6627395173392081,0.938555100168913,0.3246720035071536,0.7768933302856654,0.7647187831169099,0.8204137285263237,71097,147884,19025,290602
